key,brand,country,vertical,cost_amt,click_cnt,avg_cpc_meas,search_cnt,sov_meas
KAYAK_Peru_Hotel Citywide,KAYAK,Peru,Hotel Citywide,66.911100000,7820,0.0085564,58317,0.1340947
KAYAK_Czechia_Hotel Citywide,KAYAK,Czechia,Hotel Citywide,66.513100000,9710,0.00685,45551,0.2131677
Hotelscombined_Morocco_Flights,Hotelscombined,Morocco,Flights,66.063600000,47306,0.0013965,171601,0.2756744
KAYAK_Cameroon_Flights,KAYAK,Cameroon,Flights,65.938200000,6410,0.0102868,13183,0.4862323
KAYAK_Cyprus_Hotel Citywide,KAYAK,Cyprus,Hotel Citywide,65.397400000,3412,0.0191669,10324,0.3304921
KAYAK_Qatar_Flights,KAYAK,Qatar,Flights,65.385300000,2792,0.0234188,6218,0.449019
CheapFlights_Uruguay_Flights,CheapFlights,Uruguay,Flights,64.801300000,8121,0.0079795,32894,0.2468839
Momondo_Saudi Arabia_Flights,Momondo,Saudi Arabia,Flights,64.596000000,4252,0.0151919,163940,0.0259363
KAYAK_Latvia_Hotel Citywide,KAYAK,Latvia,Hotel Citywide,64.344300000,2658,0.0242078,8095,0.3283508
CheapFlights_DR Congo_Flights,CheapFlights,DR Congo,Flights,64.033800000,6441,0.0099416,9858,0.653378
KAYAK_Albania_Flights,KAYAK,Albania,Flights,63.669400000,2905,0.0219172,15963,0.1819833
Momondo_South Africa_Flights,Momondo,South Africa,Flights,62.722200000,4423,0.0141809,43870,0.1008206
KAYAK_Singapore_Hotel,KAYAK,Singapore,Hotel,62.250900000,3515,0.0177101,15923,0.2207499
KAYAK_Germany_Hotel,KAYAK,Germany,Hotel,61.028500000,7308,0.0083509,152537,0.0479097
CheapFlights_Pakistan_Flights,CheapFlights,Pakistan,Flights,60.799400000,8307,0.0073191,37216,0.2232104
KAYAK_Kuwait_Flights,KAYAK,Kuwait,Flights,59.894900000,1569,0.0381739,9609,0.1632844
CheapFlights_Costa Rica_Flights,CheapFlights,Costa Rica,Flights,59.531000000,13999,0.0042525,60580,0.2310829
Momondo_Costa Rica_Flights,Momondo,Costa Rica,Flights,59.318200000,6132,0.0096735,60580,0.1012215
Momondo_Ireland_Hotel Citywide,Momondo,Ireland,Hotel Citywide,59.283700000,6650,0.0089148,70539,0.0942741
KAYAK_Senegal_Flights,KAYAK,Senegal,Flights,59.222200000,5088,0.0116396,13476,0.3775601
