brand,country,vertical,sov
Hotelscombined,Bahrain,Flights,6.8998%
KAYAK,Bahrain,Hotel,6.2903%
Hotelscombined,Bahrain,Hotel,4.5161%
Momondo,Bahrain,Hotel,0.3495%
KAYAK,Bahrain,Hotel Citywide,6.3839%
Hotelscombined,Bahrain,Hotel Citywide,2.0055%
Momondo,Bahrain,Hotel Citywide,0.4640%
Swoodoo,Bahrain,Hotel Citywide,0.0031%
Hotelscombined,Bahrain,Vacations,2.5000%
Momondo,Bangladesh,Car Rentals,12.5000%
KAYAK,Bangladesh,Car Rentals,6.2500%
KAYAK,Bangladesh,Flights,12.3775%
Momondo,Bangladesh,Flights,4.7439%
CheapFlights,Bangladesh,Flights,6.4588%
Hotelscombined,Bangladesh,Flights,4.3040%
KAYAK,Bangladesh,Hotel,5.6331%
Hotelscombined,Bangladesh,Hotel,5.9073%
Momondo,Bangladesh,Hotel,2.1436%
KAYAK,Bangladesh,Hotel Citywide,12.2836%
Momondo,Bangladesh,Hotel Citywide,2.2646%
Hotelscombined,Bangladesh,Hotel Citywide,3.6936%
Swoodoo,Bangladesh,Hotel Citywide,0.0015%
Momondo,Barbados,Car Rentals,25.0000%
KAYAK,Barbados,Flights,10.3653%
CheapFlights,Barbados,Flights,5.1056%
Momondo,Barbados,Flights,2.5528%
Hotelscombined,Barbados,Flights,5.5898%
KAYAK,Barbados,Hotel,1.6352%
Hotelscombined,Barbados,Hotel,3.8679%
Momondo,Barbados,Hotel,0.1572%
KAYAK,Barbados,Hotel Citywide,9.4860%
Hotelscombined,Barbados,Hotel Citywide,2.4617%
Momondo,Barbados,Hotel Citywide,1.0179%
CheapFlights,Barbados,Hotel Citywide,0.0505%
Hotelscombined,Barbados,Vacations,5.5556%
Momondo,Belarus,Car Rentals,25.0000%
KAYAK,Belarus,Flights,4.7927%
CheapFlights,Belarus,Flights,7.5130%
Momondo,Belarus,Flights,3.0009%
Hotelscombined,Belarus,Flights,0.0216%
KAYAK,Belarus,Hotel,4.0667%
Momondo,Belarus,Hotel,0.6000%
KAYAK,Belarus,Hotel Citywide,6.0316%
Momondo,Belarus,Hotel Citywide,1.4379%
Swoodoo,Belarus,Hotel Citywide,0.0552%
Hotelscombined,Belarus,Hotel Citywide,0.0493%
Momondo,Belgium,Car Rentals,21.8681%
KAYAK,Belgium,Car Rentals,18.9579%
CheapFlights,Belgium,Flights,6.9986%
KAYAK,Belgium,Flights,7.9919%
Momondo,Belgium,Flights,9.7793%
Hotelscombined,Belgium,Flights,2.5466%
Hotelscombined,Belgium,Hotel,4.3221%
KAYAK,Belgium,Hotel,6.2857%
Momondo,Belgium,Hotel,0.2661%
Swoodoo,Belgium,Hotel,0.0042%
KAYAK,Belgium,Hotel Citywide,7.0000%
Hotelscombined,Belgium,Hotel Citywide,3.1379%
Momondo,Belgium,Hotel Citywide,1.6741%
Swoodoo,Belgium,Hotel Citywide,0.0029%
KAYAK,Belgium,Vacations,10.3407%
Hotelscombined,Belgium,Vacations,2.7338%
KAYAK,Belize,Car Rentals,25.0000%
Momondo,Belize,Car Rentals,25.0000%
KAYAK,Belize,Flights,11.9811%
CheapFlights,Belize,Flights,7.1069%
Momondo,Belize,Flights,3.7421%
Hotelscombined,Belize,Flights,6.4780%
KAYAK,Belize,Hotel,2.6515%
Hotelscombined,Belize,Hotel,4.9242%
Momondo,Belize,Hotel,0.3788%
KAYAK,Belize,Hotel Citywide,8.8218%
Momondo,Belize,Hotel Citywide,1.6058%
Hotelscombined,Belize,Hotel Citywide,3.5528%
