device,brand,country,vertical,sov
-1,KAYAK,Azerbaijan,Hotel Citywide,10.3660%
-1,Momondo,Azerbaijan,Hotel Citywide,1.7552%
-1,Hotelscombined,Azerbaijan,Hotel Citywide,2.9430%
-1,Hotelscombined,Azerbaijan,Vacations,12.5000%
-1,Momondo,Bahamas,Car Rentals,17.8571%
-1,KAYAK,Bahamas,Car Rentals,25.0000%
-1,KAYAK,Bahamas,Flights,9.4692%
-1,CheapFlights,Bahamas,Flights,5.6336%
-1,Momondo,Bahamas,Flights,2.3801%
-1,Hotelscombined,Bahamas,Flights,4.3322%
-1,KAYAK,Bahamas,Hotel,2.3967%
-1,Hotelscombined,Bahamas,Hotel,5.3975%
-1,Momondo,Bahamas,Hotel,0.2923%
-1,KAYAK,Bahamas,Hotel Citywide,8.3251%
-1,Momondo,Bahamas,Hotel Citywide,1.2154%
-1,Hotelscombined,Bahamas,Hotel Citywide,3.6957%
-1,CheapFlights,Bahamas,Hotel Citywide,0.0346%
-1,Hotelscombined,Bahamas,Vacations,6.2500%
-1,Momondo,Bahrain,Car Rentals,25.0000%
-1,KAYAK,Bahrain,Car Rentals,11.5385%
-1,KAYAK,Bahrain,Flights,8.6899%
-1,Momondo,Bahrain,Flights,3.5691%
-1,CheapFlights,Bahrain,Flights,4.5389%
-1,Hotelscombined,Bahrain,Flights,6.8998%
-1,KAYAK,Bahrain,Hotel,6.2903%
-1,Hotelscombined,Bahrain,Hotel,4.5161%
-1,Momondo,Bahrain,Hotel,0.3495%
-1,KAYAK,Bahrain,Hotel Citywide,6.3839%
-1,Hotelscombined,Bahrain,Hotel Citywide,2.0055%
-1,Momondo,Bahrain,Hotel Citywide,0.4640%
-1,Swoodoo,Bahrain,Hotel Citywide,0.0031%
-1,Hotelscombined,Bahrain,Vacations,2.5000%
-1,Momondo,Bangladesh,Car Rentals,12.5000%
-1,KAYAK,Bangladesh,Car Rentals,6.2500%
-1,KAYAK,Bangladesh,Flights,12.3775%
-1,Momondo,Bangladesh,Flights,4.7439%
-1,CheapFlights,Bangladesh,Flights,6.4588%
-1,Hotelscombined,Bangladesh,Flights,4.3040%
-1,KAYAK,Bangladesh,Hotel,5.6331%
-1,Hotelscombined,Bangladesh,Hotel,5.9073%
-1,Momondo,Bangladesh,Hotel,2.1436%
-1,KAYAK,Bangladesh,Hotel Citywide,12.2836%
-1,Momondo,Bangladesh,Hotel Citywide,2.2646%
-1,Hotelscombined,Bangladesh,Hotel Citywide,3.6936%
-1,Swoodoo,Bangladesh,Hotel Citywide,0.0015%
-1,Momondo,Barbados,Car Rentals,25.0000%
-1,KAYAK,Barbados,Flights,10.3653%
-1,CheapFlights,Barbados,Flights,5.1056%
-1,Momondo,Barbados,Flights,2.5528%
-1,Hotelscombined,Barbados,Flights,5.5898%
-1,KAYAK,Barbados,Hotel,1.6352%
-1,Hotelscombined,Barbados,Hotel,3.8679%
-1,Momondo,Barbados,Hotel,0.1572%
-1,KAYAK,Barbados,Hotel Citywide,9.4860%
-1,Hotelscombined,Barbados,Hotel Citywide,2.4617%
-1,Momondo,Barbados,Hotel Citywide,1.0179%
-1,CheapFlights,Barbados,Hotel Citywide,0.0505%
-1,Hotelscombined,Barbados,Vacations,5.5556%
-1,Momondo,Belarus,Car Rentals,25.0000%
-1,KAYAK,Belarus,Flights,4.7927%
-1,CheapFlights,Belarus,Flights,7.5130%
-1,Momondo,Belarus,Flights,3.0009%
-1,Hotelscombined,Belarus,Flights,0.0216%
-1,KAYAK,Belarus,Hotel,4.0667%
-1,Momondo,Belarus,Hotel,0.6000%
-1,KAYAK,Belarus,Hotel Citywide,6.0316%
-1,Momondo,Belarus,Hotel Citywide,1.4379%
-1,Swoodoo,Belarus,Hotel Citywide,0.0552%
-1,Hotelscombined,Belarus,Hotel Citywide,0.0493%
-1,Momondo,Belgium,Car Rentals,21.8681%
-1,KAYAK,Belgium,Car Rentals,18.9579%
-1,CheapFlights,Belgium,Flights,6.9986%
-1,KAYAK,Belgium,Flights,7.9919%
-1,Momondo,Belgium,Flights,9.7793%
-1,Hotelscombined,Belgium,Flights,2.5466%
-1,Hotelscombined,Belgium,Hotel,4.3221%
-1,KAYAK,Belgium,Hotel,6.2857%
-1,Momondo,Belgium,Hotel,0.2661%
-1,Swoodoo,Belgium,Hotel,0.0042%
-1,KAYAK,Belgium,Hotel Citywide,7.0000%
-1,Hotelscombined,Belgium,Hotel Citywide,3.1379%
-1,Momondo,Belgium,Hotel Citywide,1.6741%
-1,Swoodoo,Belgium,Hotel Citywide,0.0029%
-1,KAYAK,Belgium,Vacations,10.3407%
-1,Hotelscombined,Belgium,Vacations,2.7338%
-1,KAYAK,Belize,Car Rentals,25.0000%
-1,Momondo,Belize,Car Rentals,25.0000%
-1,KAYAK,Belize,Flights,11.9811%
-1,CheapFlights,Belize,Flights,7.1069%
-1,Momondo,Belize,Flights,3.7421%
-1,Hotelscombined,Belize,Flights,6.4780%
-1,KAYAK,Belize,Hotel,2.6515%
-1,Hotelscombined,Belize,Hotel,4.9242%
-1,Momondo,Belize,Hotel,0.3788%
-1,KAYAK,Belize,Hotel Citywide,8.8218%
-1,Momondo,Belize,Hotel Citywide,1.6058%
-1,Hotelscombined,Belize,Hotel Citywide,3.5528%
-1,CheapFlights,Belize,Hotel Citywide,0.0201%
-1,KAYAK,Benin,Car Rentals,16.6667%
-1,Momondo,Benin,Car Rentals,19.4444%
-1,KAYAK,Benin,Flights,13.6456%
-1,CheapFlights,Benin,Flights,10.6036%
-1,Momondo,Benin,Flights,4.2982%
-1,Hotelscombined,Benin,Flights,5.7422%
-1,KAYAK,Benin,Hotel,4.0541%
-1,Hotelscombined,Benin,Hotel,3.7162%
-1,KAYAK,Benin,Hotel Citywide,4.6685%
-1,Momondo,Benin,Hotel Citywide,1.1785%
-1,Hotelscombined,Benin,Hotel Citywide,1.0491%
-1,KAYAK,Benin,Vacations,9.3750%
-1,KAYAK,Bermuda,Car Rentals,25.0000%
-1,KAYAK,Bermuda,Flights,10.4814%
-1,Momondo,Bermuda,Flights,3.6879%
-1,CheapFlights,Bermuda,Flights,4.4255%
-1,Hotelscombined,Bermuda,Flights,7.1817%
-1,KAYAK,Bermuda,Hotel,2.2624%
-1,Hotelscombined,Bermuda,Hotel,6.0238%
-1,Momondo,Bermuda,Hotel,0.1697%
-1,KAYAK,Bermuda,Hotel Citywide,10.7534%
-1,Momondo,Bermuda,Hotel Citywide,1.4126%
-1,Hotelscombined,Bermuda,Hotel Citywide,3.0880%
-1,CheapFlights,Bermuda,Hotel Citywide,0.0329%
-1,Hotelscombined,Bermuda,Vacations,6.2500%
-1,KAYAK,Bhutan,Flights,11.4130%
-1,CheapFlights,Bhutan,Flights,6.5217%
-1,Momondo,Bhutan,Flights,4.8913%
-1,Hotelscombined,Bhutan,Flights,8.1522%
-1,KAYAK,Bhutan,Hotel,3.5714%
-1,Momondo,Bhutan,Hotel,2.6786%
-1,Hotelscombined,Bhutan,Hotel,2.6786%
-1,KAYAK,Bhutan,Hotel Citywide,6.3350%
-1,Hotelscombined,Bhutan,Hotel Citywide,3.4611%
-1,Momondo,Bhutan,Hotel Citywide,1.2361%
-1,Momondo,Bolivia,Car Rentals,21.1628%
-1,KAYAK,Bolivia,Car Rentals,18.4884%
-1,KAYAK,Bolivia,Flights,14.0565%
-1,CheapFlights,Bolivia,Flights,11.9216%
-1,Momondo,Bolivia,Flights,6.9049%
-1,Hotelscombined,Bolivia,Flights,4.3198%
-1,KAYAK,Bolivia,Hotel,4.8175%
-1,Hotelscombined,Bolivia,Hotel,7.5547%
-1,Momondo,Bolivia,Hotel,0.4380%
-1,KAYAK,Bolivia,Hotel Citywide,5.8428%
-1,Momondo,Bolivia,Hotel Citywide,2.2772%
-1,Hotelscombined,Bolivia,Hotel Citywide,4.8274%
-1,Swoodoo,Bolivia,Hotel Citywide,0.0005%
-1,Hotelscombined,Bolivia,Vacations,14.2857%
-1,KAYAK,Bolivia,Vacations,3.5714%
-1,KAYAK,"Bonaire, Sint Eustatius, and Saba",Flights,9.1856%
-1,CheapFlights,"Bonaire, Sint Eustatius, and Saba",Flights,8.8068%
-1,Momondo,"Bonaire, Sint Eustatius, and Saba",Flights,4.2614%
-1,Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Flights,2.9356%
-1,KAYAK,"Bonaire, Sint Eustatius, and Saba",Hotel,2.1429%
-1,Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Hotel,5.7143%
-1,KAYAK,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,8.6140%
-1,Momondo,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,0.8744%
-1,Hotelscombined,"Bonaire, Sint Eustatius, and Saba",Hotel Citywide,2.8821%
-1,Momondo,Bosnia and Herzegovina,Car Rentals,25.0000%
-1,KAYAK,Bosnia and Herzegovina,Car Rentals,5.0000%
-1,CheapFlights,Bosnia and Herzegovina,Flights,8.2059%
-1,KAYAK,Bosnia and Herzegovina,Flights,3.1544%
-1,Momondo,Bosnia and Herzegovina,Flights,3.6397%
-1,Hotelscombined,Bosnia and Herzegovina,Flights,6.5221%
-1,KAYAK,Bosnia and Herzegovina,Hotel,10.4377%
-1,Hotelscombined,Bosnia and Herzegovina,Hotel,5.8081%
-1,Momondo,Bosnia and Herzegovina,Hotel,1.0101%
-1,Swoodoo,Bosnia and Herzegovina,Hotel,0.0842%
-1,KAYAK,Bosnia and Herzegovina,Hotel Citywide,10.0401%
-1,Momondo,Bosnia and Herzegovina,Hotel Citywide,1.6023%
-1,Hotelscombined,Bosnia and Herzegovina,Hotel Citywide,2.2578%
-1,Swoodoo,Bosnia and Herzegovina,Hotel Citywide,0.0859%
-1,KAYAK,Bosnia and Herzegovina,Vacations,2.9412%
-1,Hotelscombined,Bosnia and Herzegovina,Vacations,7.3529%
-1,KAYAK,Botswana,Flights,10.4895%
-1,Momondo,Botswana,Flights,3.6932%
-1,CheapFlights,Botswana,Flights,6.0315%
-1,Hotelscombined,Botswana,Flights,4.9607%
-1,KAYAK,Botswana,Hotel,4.5259%
-1,Hotelscombined,Botswana,Hotel,4.6336%
-1,Momondo,Botswana,Hotel,0.4310%
-1,KAYAK,Botswana,Hotel Citywide,8.9850%
-1,Momondo,Botswana,Hotel Citywide,1.5074%
-1,Hotelscombined,Botswana,Hotel Citywide,2.0800%
-1,Hotelscombined,Botswana,Vacations,3.5714%
-1,Momondo,Brazil,Car Rentals,24.7532%
-1,KAYAK,Brazil,Car Rentals,2.1766%
-1,KAYAK,Brazil,Flights,3.7192%
-1,Hotelscombined,Brazil,Flights,8.5006%
-1,Mundi,Brazil,Flights,1.5048%
-1,Momondo,Brazil,Flights,0.5557%
-1,CheapFlights,Brazil,Flights,0.2198%
-1,Hotelscombined,Brazil,Hotel,6.1571%
-1,KAYAK,Brazil,Hotel,4.0946%
